server.32014	client.1-20204
server.8900	client.110-19859
server.7225	client.111-2600
server.27915	client.112-12995
server.29895	client.113-1213
server.15809	client.114-29122
server.21270	client.115-1686
server.16345	client.116-30598
server.19531	client.117-32669
server.17611	client.118-9131
server.19982	client.119-20754
server.17547	client.120-9319
server.16266	client.121-11121
server.13095	client.122-29026
server.5760	client.123-22326
server.15115	client.124-1396
server.14035	client.125-1969
server.11373	client.126-20241
server.2796	client.127-22126
server.30324	client.128-26529
server.7906	client.129-13432
server.29196	client.130-20420
server.31113	client.131-20855
server.6099	client.132-28240
server.6599	client.133-2399
server.364	client.134-30317
server.10470	client.135-17796
server.9298	client.136-12074
server.15298	client.137-23851
server.21443	client.138-20055
server.25598	client.139-3957
server.30271	client.140-16809
server.29514	client.141-9886
server.31735	client.142-27490
server.11614	client.143-18123
server.3912	client.144-5265
server.24627	client.145-23966
server.1789	client.146-30612
server.17765	client.147-10993
server.21700	client.148-21439
server.30072	client.149-26972
server.29576	client.150-1638
server.13028	client.151-17080
server.27786	client.152-30810
server.11682	client.153-11890
server.3468	client.154-8719
server.20569	client.155-13376
server.2927	client.156-29761
server.5236	client.157-10
server.19606	client.158-10500
server.6655	client.159-30379
server.7032	client.160-11731
server.20011	client.161-7247
server.16445	client.162-6599
server.10469	client.163-3627
server.18280	client.164-21732
server.4252	client.165-8928
server.23639	client.166-9925
server.4845	client.167-20832
server.8910	client.168-8395
server.3516	client.169-26358
server.25894	client.170-32004
server.11775	client.171-6793
server.25533	client.172-22254
server.19144	client.173-26094
server.16013	client.174-26107
server.2128	client.175-30226
server.25999	client.176-13439
server.19242	client.177-874
server.23588	client.178-113
server.14139	client.179-15349
server.11096	client.180-30932
server.24873	client.181-26762
server.29939	client.182-15351
server.30654	client.183-514
server.7239	client.184-15590
server.24353	client.185-9700
server.18282	client.186-7832
server.11955	client.187-5112
server.20042	client.188-32393
server.31955	client.189-23205
server.11440	client.190-3039
server.15193	client.191-1711
server.8281	client.192-3184
server.27182	client.193-12445
server.26950	client.194-4565
server.30795	client.195-22471
server.2363	client.196-7860
server.30585	client.197-30607
server.207	client.198-29762
server.24163	client.199-28957
server.17626	client.200-2495
server.771	client.201-25294
server.8140	client.202-20012
server.23702	client.203-11828
server.3463	client.204-22541
server.1800	client.205-20845
server.6125	client.206-4148
server.31711	client.207-13818
server.31021	client.208-15091
server.28352	client.209-17112
server.16878	client.210-8546
server.24980	client.211-23886
server.2460	client.212-5172
server.11793	client.213-5792
server.6143	client.214-5933
server.13190	client.215-26865
server.17695	client.216-15313
server.22583	client.217-9356
server.10669	client.218-16386
server.26152	client.219-6077
server.7386	client.220-30282
server.14970	client.221-29643
server.28696	client.222-32250
server.18767	client.223-9427
server.17294	client.224-16578
server.13173	client.225-31629
server.1776	client.226-6773
server.6082	client.227-751
server.27638	client.228-2230
server.15630	client.229-15048
server.16627	client.230-18897
server.4030	client.231-21936
server.20060	client.232-14831
server.10112	client.233-31301
server.30751	client.234-30806
server.9753	client.235-27803
server.25209	client.236-20792
server.2731	client.237-1114
server.3578	client.238-21169
server.10931	client.239-9007
server.2959	client.240-31944
server.32128	client.241-2508
server.3792	client.242-21557
server.438	client.243-2196
server.23922	client.244-2648
server.22992	client.245-16384
server.2012	client.246-21790
server.27920	client.247-21164
server.19974	client.248-16233
server.20089	client.249-4170
server.2665	client.250-19008
server.28204	client.251-11870
server.15235	client.252-23823
server.25033	client.253-1874
server.18522	client.254-13119
server.10212	client.255-9014
server.30793	client.256-7555
server.23757	client.257-17036
server.9167	client.258-12797
server.1605	client.259-23416
server.23106	client.260-19194
server.11436	client.261-28
server.28174	client.262-2007
server.3854	client.263-9013
server.14666	client.264-28553
server.24613	client.265-22357
server.26553	client.266-26181
server.25868	client.267-11255
server.6178	client.268-7441
server.31829	client.269-1984
server.3175	client.270-3205
server.11242	client.271-21873
server.7602	client.272-26019
server.26482	client.273-16670
server.14984	client.274-5154
server.24909	client.275-20834
server.17109	client.276-29219
server.1150	client.277-10760
server.7384	client.278-27225
server.17977	client.279-4272
server.21721	client.280-4276
server.16617	client.281-15863
server.28799	client.282-18124
server.11380	client.283-13419
server.7305	client.284-5393
server.23061	client.285-26435
server.14232	client.286-6460
server.3089	client.287-32005
server.3759	client.288-23215
server.25641	client.289-24748
server.4814	client.290-28219
server.1536	client.291-3399
server.1207	client.292-24313
server.28833	client.293-13130
server.1264	client.294-25837
server.20415	client.295-17934
server.2800	client.296-15288
server.2739	client.297-9482
server.27373	client.298-12184
server.19114	client.299-15637
server.18975	client.300-2411
server.9972	client.301-3878
server.11047	client.302-13351
server.2726	client.303-17859
server.9108	client.304-7898
server.9529	client.305-27627
server.23567	client.306-13848
server.10270	client.307-3929
server.21913	client.308-28693
server.17825	client.309-32406
server.26093	client.310-23936
server.22246	client.311-17450
server.26704	client.312-12091
server.2690	client.313-32732
server.31806	client.314-27612
server.27036	client.315-16948
server.14717	client.316-2551
server.21858	client.317-16475
server.17085	client.318-9950
server.22400	client.319-12913
server.15513	client.320-481
server.10123	client.321-28311
server.15377	client.322-19723
server.14185	client.323-32445
server.26043	client.324-13957
server.1512	client.325-29943
server.15940	client.326-14025
server.27053	client.327-10579
server.12349	client.328-16173
server.18420	client.329-3594
server.3279	client.330-6202
server.20732	client.331-1491
server.2595	client.332-8376
server.18904	client.333-13932
server.9072	client.334-13441
server.7999	client.335-8399
server.6087	client.336-13970
server.21340	client.337-4943
server.29077	client.338-13677
server.15237	client.339-15101
server.329	client.340-4044
server.17003	client.341-23661
server.11891	client.342-8926
server.21407	client.343-13768
server.13117	client.344-14473
server.26137	client.345-11905
server.19635	client.346-12597
server.14898	client.347-29305
server.4795	client.348-26840
server.3987	client.349-12491
server.9852	client.350-29591
server.1120	client.351-5615
server.21207	client.352-16200
server.18353	client.353-23943
server.26933	client.354-27695
server.13144	client.355-11294
server.11111	client.356-18685
server.32585	client.357-18193
server.29592	client.358-10317
server.3816	client.359-21431
server.22548	client.360-19438
server.19893	client.361-27587
server.30603	client.362-31793
server.14153	client.363-23711
server.27568	client.364-13491
server.10194	client.365-1222
server.11920	client.366-17477
server.23297	client.367-31895
server.18214	client.368-21435
server.16756	client.369-20852
server.13859	client.370-32002
server.12765	client.371-23013
server.30989	client.372-1574
server.23987	client.373-15360
server.31296	client.374-9022
server.1665	client.375-14819
server.4374	client.376-30487
server.16920	client.377-773
server.699	client.378-6684
server.31312	client.379-17946
server.12723	client.380-6164
server.32261	client.381-12323
server.28605	client.382-14097
server.5415	client.383-20848
server.12828	client.384-3524
server.5993	client.385-8634
server.4987	client.386-15365
server.16453	client.387-19359
server.816	client.388-27670
server.18582	client.389-3368
server.31178	client.390-4960
server.20976	client.391-10928
server.25859	client.392-291
server.29666	client.393-16666
server.26422	client.394-21479
server.2761	client.395-25114
server.28564	client.396-3546
server.3750	client.397-27949
server.22493	client.398-5522
server.30667	client.399-26376
server.524	client.400-8110
server.30657	client.401-26785
server.30466	client.402-21096
server.31654	client.403-7866
server.26512	client.404-17080
server.27784	client.405-639
server.2204	client.406-4991
server.12336	client.407-24031
server.9778	client.408-21501
server.10953	client.409-11973
server.15574	client.410-11940
server.25610	client.411-2570
server.27160	client.412-7183
server.16927	client.413-9966
server.30368	client.414-24683
server.18988	client.415-12910
server.6444	client.416-19583
server.20798	client.417-31939
server.15925	client.418-22775
server.26523	client.419-12929
server.25415	client.420-9842
server.14245	client.421-30275
server.31284	client.422-16605
server.11854	client.423-22341
server.13831	client.424-21297
server.1636	client.425-26256
server.17223	client.426-17133
server.30410	client.427-9435
server.21086	client.428-23904
server.28981	client.429-11641
server.7267	client.430-22366
server.1816	client.431-2592
server.30036	client.432-9925
server.30573	client.433-21639
server.12930	client.434-12870
server.19041	client.435-30697
server.10533	client.436-25640
server.10303	client.437-588
server.28842	client.438-21656
server.30263	client.439-23683
server.28177	client.440-15303
server.22022	client.441-19393
server.8748	client.442-14976
server.24978	client.443-24319
server.4360	client.444-21653
server.15008	client.445-7197
server.23542	client.446-18370
server.24402	client.447-24003
server.25763	client.448-19919
server.2487	client.449-651
server.9864	client.450-25880
server.17997	client.451-10333
server.19648	client.452-31517
server.21409	client.453-6080
server.4532	client.454-28317
server.15967	client.455-10987
server.23358	client.456-3692
server.971	client.457-22489
server.14355	client.458-13263
server.14607	client.459-20881
server.9182	client.460-6018
server.2117	client.461-7385
server.16099	client.462-20577
server.12999	client.463-25282
server.24882	client.464-26738
server.14357	client.465-7724
server.11105	client.466-9067
server.32746	client.467-6957
server.27435	client.468-4603
server.8970	client.469-8013
server.15736	client.470-23630
server.8953	client.471-23941
server.3192	client.472-15446
server.23830	client.473-29210
server.11356	client.474-32297
server.24411	client.475-9710
server.22273	client.476-8212
server.21123	client.477-21121
server.13411	client.478-358
server.9480	client.479-25791
server.30717	client.480-9675
server.31497	client.481-21947
server.7938	client.482-1780
server.20330	client.483-587
server.25282	client.484-1570
server.28747	client.485-3853
server.19117	client.486-17448
server.24242	client.487-20592
server.10229	client.488-27995
server.4487	client.489-24980
server.5407	client.490-27344
server.15204	client.491-16733
server.27399	client.492-23511
server.10449	client.493-953
server.16331	client.494-29144
server.21924	client.495-16114
server.11493	client.496-17868
server.5522	client.497-18811
server.30950	client.498-4507
server.10176	client.499-20938
server.18127	client.500-3414
server.13330	client.501-25312
server.10556	client.502-29214
server.13821	client.503-4945
server.25736	client.504-19312
server.21039	client.505-26594
server.27981	client.506-12330
server.19869	client.507-12293
server.18011	client.508-22087
server.7067	client.509-10891
server.22544	client.510-12581
server.6537	client.511-9250
server.31593	client.512-23105
server.3280	client.513-20972
server.5144	client.514-28417
server.21547	client.515-12660
server.28651	client.516-26827
server.14864	client.517-14706
server.2535	client.518-29752
server.13548	client.519-12535
server.23863	client.520-3714
server.12481	client.521-8281
server.26834	client.522-4424
server.19273	client.523-31970
server.4357	client.524-2126
server.2014	client.525-23460
server.17546	client.526-28251
server.29530	client.527-22172
server.25112	client.528-18369
server.3562	client.529-18915
server.1014	client.530-10558
server.26604	client.531-24232
server.10301	client.532-6760
server.29013	client.533-12011
server.2303	client.534-20617
server.30029	client.535-24646
server.22461	client.536-27438
server.28668	client.537-24825
server.6777	client.538-10221
server.28407	client.539-15578
server.14063	client.540-11269
server.12640	client.541-27000
server.30714	client.542-25134
server.23228	client.543-12259
server.2937	client.544-4216
server.22252	client.545-21717
server.17602	client.546-16975
server.10820	client.547-1652
server.21884	client.548-24914
server.28782	client.549-7484
server.9342	client.550-6070
server.30140	client.551-18731
server.31068	client.552-25091
server.1416	client.553-20662
server.14164	client.554-18184
server.15185	client.555-4484
server.12994	client.556-3637
server.28930	client.557-1753
server.22995	client.558-20043
server.26882	client.559-19679
server.31963	client.560-14321
server.25931	client.561-24895
server.7743	client.562-2229
server.26050	client.563-19617
server.9228	client.564-16743
server.4001	client.565-15438
server.29790	client.566-25783
server.764	client.567-4680
server.21296	client.568-13120
server.26953	client.569-2028
server.28021	client.570-29858
server.25240	client.571-5753
server.11544	client.572-22257
server.16985	client.573-15298
server.23617	client.574-2835
server.25126	client.575-28450
server.27372	client.576-29160
server.24557	client.577-26629
server.26911	client.578-10900
server.7718	client.579-6716
server.6737	client.580-22720
server.18482	client.581-8325
server.21516	client.582-1866
server.13414	client.583-25643
server.27549	client.584-12643
server.8995	client.585-4947
server.21543	client.586-30288
server.14873	client.587-32284
server.12380	client.588-15260
server.15028	client.589-16990
server.25988	client.590-31477
server.5494	client.591-8611
server.11133	client.592-16784
server.1810	client.593-2193
server.14482	client.594-15077
server.13833	client.595-13194
server.22830	client.596-4690
server.6621	client.597-13497
server.10741	client.598-26342
server.14996	client.599-2009
server.31907	client.600-21874
server.2993	client.601-25386
server.923	client.602-24637
server.27287	client.603-3109
server.10029	client.604-21646
server.31024	client.605-3485
server.31022	client.606-25082
server.1681	client.607-28939
server.22597	client.608-24291
server.17576	client.609-13075
server.30441	client.610-27153
server.8400	client.611-28957
server.18732	client.612-8751
server.6346	client.613-15443
server.17719	client.614-24993
server.18996	client.615-20500
server.7595	client.616-2742
server.23458	client.617-11781
server.10142	client.618-6604
server.16198	client.619-16021
server.30895	client.620-21467
server.5031	client.621-24443
server.23416	client.622-20471
server.14077	client.623-25268
server.24468	client.624-9002
server.29901	client.625-28682
server.32004	client.626-23426
server.23133	client.627-13690
server.7777	client.628-4401
server.22094	client.629-20693
server.8621	client.630-4655
server.4958	client.631-17229
server.14978	client.632-22314
server.18629	client.633-12288
server.7334	client.634-13294
server.5952	client.635-4745
server.14848	client.636-10220
server.17285	client.637-30953
server.11061	client.638-19824
server.11017	client.639-65
server.23147	client.640-24968
server.32189	client.641-20074
server.12175	client.642-2603
server.12253	client.643-11124
server.425	client.644-15731
server.30268	client.645-6405
server.22869	client.646-31003
server.11358	client.647-8828
server.17893	client.648-503
server.11603	client.649-23737
server.20144	client.650-19928
server.32214	client.651-13005
server.20922	client.652-18034
server.13172	client.653-22800
server.32682	client.654-8162
server.20102	client.655-1427
server.12858	client.656-19798
server.7798	client.657-11788
server.20944	client.658-29530
server.24045	client.659-16986
server.16445	client.660-2925
server.29791	client.661-10120
server.30674	client.662-7857
server.10501	client.663-10200
server.10010	client.664-23022
server.24164	client.665-19168
server.3701	client.666-27742
server.27107	client.667-29917
server.10003	client.668-2969
server.2462	client.669-12934
server.6466	client.670-25397
server.28782	client.671-3832
server.1817	client.672-19984
server.9282	client.673-14202
server.24588	client.674-26324
server.10839	client.675-25246
server.15425	client.676-3338
server.14905	client.677-11775
server.1806	client.678-25030
server.13842	client.679-7049
server.2355	client.680-12759
server.30149	client.681-5990
server.21143	client.682-26892
server.14589	client.683-16287
server.7982	client.684-12977
server.10978	client.685-11529
server.20524	client.686-20710
server.21621	client.687-28772
server.31685	client.688-8019
server.20961	client.689-24149
server.19929	client.690-1212
server.1132	client.691-32150
server.11682	client.692-16529
server.7530	client.693-29476
server.7623	client.694-18652
server.13243	client.695-26352
server.25753	client.696-14234
server.12738	client.697-23676
server.29066	client.698-19573
server.17051	client.699-10440
server.9767	client.700-9833
server.24214	client.701-1320
server.9668	client.702-5882
server.7075	client.703-15852
server.30626	client.704-29262
server.9248	client.705-22016
server.19010	client.706-26742
server.23140	client.707-7505
server.32219	client.708-25942
server.9204	client.709-16047
server.4319	client.710-24284
server.31971	client.711-18754
server.15230	client.712-32396
server.28695	client.713-18199
server.391	client.714-30766
server.15171	client.715-25798
server.9341	client.716-17427
server.3046	client.717-19480
server.5437	client.718-3100
server.18961	client.719-31773
server.12281	client.720-14962
server.26965	client.721-10335
server.11877	client.722-15603
server.17253	client.723-21251
server.3015	client.724-22672
server.3742	client.725-32594
server.14768	client.726-12059
server.16749	client.727-9102
server.31268	client.728-9394
server.18520	client.729-20771
server.29337	client.730-18240
server.3989	client.731-19846
server.17012	client.732-3647
server.10026	client.733-4536
server.1010	client.734-22008
server.20444	client.735-10901
server.15080	client.736-4217
server.20053	client.737-23070
server.5910	client.738-22822
server.3911	client.739-17940
server.9568	client.740-2517
server.21344	client.741-24649
server.31645	client.742-18939
server.10719	client.743-16321
server.15339	client.744-31764
server.23183	client.745-7830
server.26575	client.746-523
server.31346	client.747-2314
server.7681	client.748-9184
server.9303	client.749-29817
server.24012	client.750-14554
server.3661	client.751-3835
server.13034	client.752-30113
server.21735	client.753-14249
server.23750	client.754-30517
server.1540	client.755-7070
server.31323	client.756-4910
server.21731	client.757-16389
server.19122	client.758-9688
server.24064	client.759-5069
server.8029	client.760-23616
server.10000	client.761-14045
server.16373	client.762-19075
server.236	client.763-17076
server.633	client.764-148
server.13677	client.765-9859
server.16648	client.766-7643
server.19860	client.767-32383
server.26372	client.768-32060
server.16904	client.769-27707
server.23404	client.770-16785
server.27479	client.771-31039
server.16052	client.772-21925
server.5258	client.773-15254
server.15940	client.774-2306
server.11073	client.775-22716
server.26796	client.776-7452
server.14453	client.777-14844
server.1825	client.778-13740
server.25412	client.779-9882
server.28425	client.780-4099
server.27488	client.781-17997
server.5119	client.782-29826
server.15833	client.783-15124
server.29378	client.784-26942
server.8485	client.785-14816
server.17111	client.786-21872
server.32159	client.787-7115
server.27426	client.788-14706
server.10351	client.789-17106
server.15914	client.790-24422
server.26536	client.791-29312
server.2149	client.792-21462
server.12350	client.793-29524
server.26673	client.794-6212
server.26276	client.795-21298
server.9988	client.796-10792
server.26638	client.797-15217
server.16159	client.798-22735
server.21346	client.799-31424
server.5633	client.800-20624
server.31684	client.801-15621
server.14481	client.802-30143
server.29320	client.803-32430
server.29908	client.804-11528
server.10658	client.805-3612
server.388	client.806-22616
server.11331	client.807-14644
server.24223	client.808-14863
server.23490	client.809-17429
server.30888	client.810-32587
server.14999	client.811-14620
server.14870	client.812-8969
server.25347	client.813-13258
server.20880	client.814-8180
server.8700	client.815-29970
server.9153	client.816-31775
server.5060	client.817-19444
server.14650	client.818-24520
server.31812	client.819-3130
server.28703	client.820-24815
server.6667	client.821-4087
server.22074	client.822-21516
server.2086	client.823-8808
server.3012	client.824-11879
server.16388	client.825-4636
server.16883	client.826-4042
server.24924	client.827-13775
server.984	client.828-1215
server.14220	client.829-3981
server.12733	client.830-9039
server.26436	client.831-25320
server.7649	client.832-22622
server.23435	client.833-10035
server.13399	client.834-24788
server.15443	client.835-17270
server.10110	client.836-24877
server.2313	client.837-26987
server.15308	client.838-9625
server.32393	client.839-5970
server.20302	client.840-19617
server.15448	client.841-3000
server.2778	client.842-16015
server.23305	client.843-28209
server.4506	client.844-22459
server.21742	client.845-10200
server.1604	client.846-833
server.24595	client.847-16132
server.17553	client.848-19119
server.24634	client.849-13318
server.21246	client.850-25957
server.8538	client.851-14596
server.32251	client.852-17559
server.15055	client.853-2435
server.14739	client.854-8880
server.9885	client.855-13491
server.32034	client.856-2641
server.8697	client.857-32525
server.31661	client.858-29605
server.30727	client.859-18012
server.400	client.860-14331
server.522	client.861-4115
server.4102	client.862-18025
server.29228	client.863-32542
server.12636	client.864-14462
server.7562	client.865-1991
server.18217	client.866-12458
server.8184	client.867-3307
server.16351	client.868-2014
server.10007	client.869-2067
server.26443	client.870-3777
server.23179	client.871-5487
server.19661	client.872-28366
server.22537	client.873-1363
server.26320	client.874-7504
server.9747	client.875-21675
server.19953	client.876-26649
server.28504	client.877-7321
server.21107	client.878-12211
server.14350	client.879-19299
server.4020	client.880-5779
server.27607	client.881-17142
server.27320	client.882-9114
server.4887	client.883-31804
server.29921	client.884-15617
server.17692	client.885-31094
server.29863	client.886-17739
server.5074	client.887-26069
server.10073	client.888-407
server.93	client.889-31102
server.24688	client.890-9276
server.12648	client.891-18560
server.6652	client.892-4666
server.28297	client.893-4678
server.28482	client.894-3651
server.30305	client.895-10987
server.23754	client.896-2473
server.30430	client.897-12566
server.16316	client.898-8480
server.1167	client.899-4112
server.14240	client.900-13592
server.26487	client.901-22441
server.21981	client.902-31874
server.29098	client.903-3242
server.11234	client.904-22750
server.1589	client.905-12232
server.17031	client.906-31687
server.25896	client.907-28699
server.15491	client.908-6277
server.5753	client.909-7913
server.12034	client.910-21568
server.29435	client.911-26286
server.2044	client.912-23236
server.16435	client.913-11692
server.16642	client.914-4161
server.30004	client.915-455
server.28204	client.916-10673
server.23253	client.917-2379
server.23017	client.918-5415
server.29546	client.919-29169
server.23884	client.920-22219
server.21714	client.921-26538
server.4201	client.922-7720
server.31663	client.923-30754
server.15331	client.924-4311
server.25736	client.925-18623
server.15175	client.926-370
server.12397	client.927-29368
server.22968	client.928-1978
server.26146	client.929-25008
server.18522	client.930-20621
server.1803	client.931-7929
server.12235	client.932-24176
server.23564	client.933-21922
server.14105	client.934-5537
server.22465	client.935-30060
server.22048	client.936-32246
server.21377	client.937-28200
server.21294	client.938-17139
server.9993	client.939-31119
server.23485	client.940-5607
server.7422	client.941-13994
server.30759	client.942-28602
server.16713	client.943-16399
server.20513	client.944-1319
server.6509	client.945-25083
server.29949	client.946-12215
server.25396	client.947-17524
server.24235	client.948-24164
server.10738	client.949-10955
server.11275	client.950-17654
server.10523	client.951-29421
server.22512	client.952-3704
server.7948	client.953-29725
server.22226	client.954-4679
server.14911	client.955-20828
server.8928	client.956-16653
server.2687	client.957-23045
server.17940	client.958-5229
server.19300	client.959-18511
server.27874	client.960-2518
server.245	client.961-12428
server.25753	client.962-14818
server.29500	client.963-7728
server.7647	client.964-23210
server.2963	client.965-14392
server.2393	client.966-1900
server.1136	client.967-8995
server.200	client.968-9424
server.30691	client.969-7075
server.2031	client.970-3282
server.26574	client.971-23243
server.25556	client.972-14145
server.15979	client.973-10776
server.19239	client.974-16833
server.3202	client.975-29287
server.3450	client.976-31838
server.19223	client.977-12218
server.32431	client.978-19468
server.31209	client.979-20115
server.13148	client.980-14972
server.26531	client.981-12432
server.5283	client.982-1290
server.11795	client.983-3022
server.18257	client.984-19740
server.2766	client.985-6616
server.27948	client.986-13671
server.17422	client.987-20447
server.5167	client.988-29116
server.16036	client.989-22770
server.7500	client.990-16121
server.2542	client.991-8570
server.11655	client.992-8621
server.10151	client.993-28658
server.12853	client.994-28533
server.11472	client.995-21132
server.16190	client.996-20180
server.1586	client.997-23452
server.6909	client.998-871
server.2238	client.999-12230
server.18808	client.1000-9273
